domain,times_ranked,times_cited,citation_rate,vs_average
immobilienscout24.de,132,81,0.614,2.11
test.de,42,24,0.571,1.96
immoverkauf24.de,37,21,0.568,1.95
hvbg.hessen.de,27,15,0.556,1.91
sachverstaendigenbuero-hp.de,40,22,0.55,1.89
sparkasse.de,216,118,0.546,1.88
immo.info,65,34,0.523,1.8
drklein.de,142,69,0.486,1.67
gutachter-gesellschaft.de,42,20,0.476,1.64
rosepartner.de,22,10,0.455,1.57
ksk-immobilien.de,187,79,0.422,1.45
bewertungsstelle.de,30,12,0.4,1.38
interhyp.de,148,59,0.399,1.37
ev-liquidhome.de,47,18,0.383,1.32
heid-immobilienbewertung.de,306,111,0.363,1.25
youtube.com,25,9,0.36,1.24
certa-gutachten.de,130,46,0.354,1.22
check24.de,178,62,0.348,1.2
haus-grund-wert.de,41,14,0.341,1.17
hausundgrund.de,38,12,0.316,1.09
lbs.de,96,30,0.312,1.07
schiffer.immo,36,11,0.306,1.05
homeday.de,129,35,0.271,0.93
dekra.de,45,12,0.267,0.92
imwert-immobilienbewertung.de,34,9,0.265,0.91
baufi24.de,31,7,0.226,0.78
vr.de,102,21,0.206,0.71
immowelt.de,20,4,0.2,0.69
mcmakler.de,28,5,0.179,0.62
dkb.de,30,4,0.133,0.46
gars.nrw,108,14,0.13,0.45
stadt.muenchen.de,23,3,0.13,0.45
fischer-immobilien-muenchen.de,31,3,0.097,0.33
wohnglueck.de,23,2,0.087,0.3
immobiliengutachter-hh.de,23,2,0.087,0.3
drtimmer.de,24,2,0.083,0.29
krauschaline.de,20,1,0.05,0.17
bundesverband-gutachter.de,41,1,0.024,0.08
dkb-grund.de,87,2,0.023,0.08
schwaebisch-hall.de,60,1,0.017,0.06
muenchen.de,22,0,0.0,0.0
