features,grouped_by,pr_auc_mean,pr_auc_sd,roc_auc
content only,query,0.527,0.033,0.727
content only,domain,0.35,0.052,0.552
content only,url,0.346,0.037,0.561
content + rank,query,0.577,0.035,0.757
content + rank,domain,0.376,0.027,0.6
content + rank,url,0.373,0.041,0.608
page-constant only,query,0.522,0.03,0.733
page-constant only,domain,0.349,0.033,0.551
page-constant only,url,0.371,0.062,0.577
query-dependent only,query,0.402,0.039,0.607
query-dependent only,domain,0.315,0.023,0.522
query-dependent only,url,0.326,0.038,0.533
