feature,perm_importance,perm_std
query_url_similarity,0.16634043869145146,0.010548488470499967
word_count,0.13740714494044584,0.008890208102641217
passage_match_score,0.11286084979058768,0.006793711830484653
readability_score,0.0926203366090338,0.00652493263214926
num_lists_tables,0.02842287517450165,0.002590492834614701
content_freshness_days,0.015396428960083242,0.0020411702435763567
num_entities_matched,0.011234122796238033,0.0011442851573315563
structure_score,0.00425248104485515,0.0007845140175164092
is_video,0.0020228544532651773,0.001053535476929983
content_type,0.0017945902602231167,0.0004376095111122998
has_schema,0.0005333169552144912,0.00018677551932826168
has_faq,8.085896145675342e-05,0.00017046476875656722
is_https,0.0,0.0
is_forum,0.0,0.0
